AH,Air Algérie,DAH,Algeria
SF,Tassili Airlines,DTH,Algeria
DT,TAAG Angola Airlines,DTA,Angola
LI,LIAT Airlines,LIA,Antigua and Barbuda
AR,Aerolineas Argentinas,ARG,Argentina
AU,Austral,AUT,Argentina
4M,LATAM Airlines Argentina,DSM,Argentina
QF,Qantas,QFA,Australia
VA,Virgin Australia,VOZ,Australia
OS,Austrian,AUA,Austria
J2,Azerbaijan Airlines,AHY,Azerbaijan
7L,Silk Way West Airlines,AZG,Azerbaijan
UP,Bahamasair,BHS,Bahamas
ES*,DHL Aviation,DHX,Bahrain
GF,Gulf Air,GFA,Bahrain
BG,Biman Bangladesh Airlines,BBC,Bangladesh
B2,Belavia Belarusian Airlines,BRU,Belarus
SN,Brussels Airlines,BEL,Belgium
OB,BoA Boliviana de Aviacion,BOV,Bolivia
BP,Air Botswana,BOT,Botswana
O6,Avianca Brasil,ONE,Brazil
AD,Azul Brazilian Airlines,AZU,Brazil
G3,GOL Linhas Aereas,GLO,Brazil
JJ,LATAM Airlines Brasil,TAM,Brazil
M3,LATAM Cargo Brasil,LTG,Brazil
BI,Royal Brunei,RBA,Brunei Darussalam
8H,BH Air,BGH,Bulgaria
FB,Bulgaria Air,LZB,Bulgaria
2J,Air Burkina,VBW,Burkina Faso
K6,Cambodia Angkor Air,KHV,Cambodia
QC,Camair-Co,CRC,Cameroon
AC,Air Canada,ACA,Canada
TS,Air Transat,TSC,Canada
W8,Cargojet Airways,CJT,Canada
WS,WestJet,WJA,Canada
VR,TACV Cabo Verde Airlines,TCV,Cape Verde
KX,Cayman Airways,CAY,Cayman Islands
LA,LATAM Airlines Group,LAN,Chile
UC,LATAM Cargo Chile,LCO,Chile
H2,SKY Airline,SKU,Chile
CA,Air China,CCA,China
JD,Capital Airlines,CBJ,China
CK,China Cargo Airlines,CKK,China
MU,China Eastern,CES,China
G5,China Express Airlines,HXA,China
CF,China Postal Airlines,CYZ,China
CZ,China Southern Airlines,CSN,China
FU,Fuzhou Airlines,FZA,China
GX,GX Airlines,CBG,China
HU,Hainan Airlines,CHH,China
NS,Hebei Airlines,HBH,China
HO,Juneyao Airlines,DKH,China
KY,Kunming Airlines,KNA,China
GJ,Loong Air,CDC,China
8L,Lucky Air,LKE,China
BK,Okay Airways,OKA,China
O3,SF Airlines,CSS,China
SC,Shandong Airlines,CDG,China
FM,Shanghai Airlines,CSH,China
ZH,Shenzhen Airlines,CSZ,China
3U,Sichuan Airlines,CSC,China
Y8,Suparna Airlines,YZR,China
GS,Tianjin Airlines,GCR,China
UQ,Urumqi Air,CUH,China
MF,Xiamen Airlines,CXA,China
P5,Aero Republica,RPB,Colombia
AV,Avianca,AVA,Colombia
4C,LATAM Airlines Colombia,ARE,Colombia
8Z,Congo Airways,CGA,Congo
LR,Avianca Costa Rica,LRC,Costa Rica
OU,Croatia Airlines,CTN,Croatia
CU,Cubana,CUB,Cuba
7i,InselAir,INC,Curaçao
CO,COBALT,FCB,Cyprus
CY,Cyprus Airways,CYP,Cyprus
OK,Czech Airlines,CSA,Czech Republic
2K,Avianca Ecuador,GLG,Ecuador
XL,LATAM Airlines Ecuador,LNE,Ecuador
EQ,TAME,TAE,Ecuador
SM,Air Cairo,MSC,Egypt
UJ,AlMasria Universal Airlines,LMU,Egypt
MS,Egyptair,MSR,Egypt
FT,FlyEgypt,FEG,Egypt
NE,Nesma Airlines,NMA,Egypt
NP,Nile Air,NIA,Egypt
TA,TACA,TAI,El Salvador
ET,Ethiopian Airlines,ETH,Ethiopia
RC,Atlantic Airways,FLI,Faroe Islands
FJ,Fiji Airways,FJI,Fiji
AY,Finnair,FIN,Finland
ZI,Aigle Azur,AAF,France
XK,Air Corsica,CCM,France
AF,Air France,AFR,France
SS,Corsair International,CRL,France
VT,Air Tahiti,VTA,French Polynesia
TN,Air Tahiti Nui,THT,French Polynesia
A9,Georgian Airways,TGZ,Georgia
DE,Condor,CFG,Germany
QY,European Air Transport,BCS,Germany
EW,Eurowings,EWG,Germany
ST,Germania,GMI,Germany
HR*,Hahn Air,HHN,Germany
LH,Lufthansa,DLH,Germany
LH,Lufthansa Cargo,GEC,Germany
CL,Lufthansa CityLine,CLH,Germany
X3*,TUIfly,TUI,Germany
WH,WDL Aviation,WDL,Germany
AW,Africa World Airlines,AFW,Ghana
A3,Aegean Airlines,AEE,Greece
OA,Olympic Air,OAL,Greece
TX,Air Caraibes,FWI,Guadeloupe
KA,Cathay Dragon,HDA,Hong Kong
CX,Cathay Pacific,CPA,Hong Kong
HX,Hong Kong Airlines,CRK,Hong Kong
UO,Hong Kong Express Airways,HKE,Hong Kong
FI,Icelandair,ICE,Iceland
AI,Air India,AIC,India
9W,Jet Airways,JAI,India
S2,Jet Lite (India),JLL,India
UK,Vistara,VTI,India
ID,Batik Air,BTK,Indonesia
GA,Garuda Indonesia,GIA,Indonesia
IR,Iran Air,IRA,Iran
B9,Iran Airtour Airline,IRB,Iran
EP,Iran Aseman Airlines,IRC,Iran
Y9,Kish Air,IRK,Iran
W5,Mahan Air,IRM,Iran
EI,Aer Lingus,EIN,Ireland
WX,CityJet,BCY,Ireland
IZ,Arkia Israeli Airlines,AIZ,Israel
5C,CAL Cargo Airlines,ICL,Israel
LY,EL AL,ELY,Israel
6H,Israir,ISR,Israel
IG,Air Italy,ISS,Italy
AZ,Alitalia,AZA,Italy
BV,Blue Panorama,BPA,Italy
M4,Mistral Air,MSA,Italy
NO,Neos,NOS,Italy
NH,ANA,ANA,Japan
JL,Japan Airlines,JAL,Japan
KZ,NCA Nippon Cargo Airlines,NCA,Japan
R5,Jordan Aviation,JAV,Jordan
RJ,Royal Jordanian,RJA,Jordan
KC,Air Astana,KZR,Kazakhstan
DV,SCAT Airlines,VSV,Kazakhstan
KQ,Kenya Airways,KQA,Kenya
JS,Air Koryo,KOR,Korea
OZ,Asiana Airlines,AAR,Korea
ZE,Eastar Jet,ESR,Korea
7C,Jeju Air,JJA,Korea
LJ,Jin Air,JNA,Korea
KE,Korean Air,KAL,Korea
TW,T’way Air,TWB,Korea
J9,Jazeera Airways,JZR,Kuwait
KU,Kuwait Airways,KAC,Kuwait
QV,Lao Airlines,LAO,Lao
BT,Air Baltic,BTI,Latvia
ME,MEA,MEA,Lebanon
CV,Cargolux,CLX,Luxembourg
LG,Luxair,LGL,Luxembourg
NX,Air Macau,AMU,Macao SAR, China
MD,Air Madagascar,MDG,Madagascar
MH,Malaysia Airlines,MAS,Malaysia
OD,Malindo Air,MXD,Malaysia
KM,Air Malta,AMC,Malta
L6,Mauritania Airlines International,MAI,Mauritania
MK,Air Mauritius,MAU,Mauritius
AM,Aeromexico,AMX,Mexico
4O,Interjet,AIJ,Mexico
M7,LATAM Cargo Mexico,MAA,Mexico
Y4*,Volaris,VOI,Mexico
9U,Air Moldova,MLD,Moldova, Republic of
OM,MIAT Mongolian Airlines,MGL,Mongolia
YM,Montenegro Airlines,MGX,Montenegro
AT,Royal Air Maroc,RAM,Morocco
TM,LAM,LAM,Mozambique
8M,Myanmar Airways International,MMA,Myanmar
SW,Air Namibia,NMB,Namibia
KL,KLM,KLM,Netherlands
MP,Martinair Cargo,MPH,Netherlands
TY,Air Caledonie,TPC,New Caledonia
SB,Aircalin,ACI,New Caledonia
PX,Air Niugini,ANG,New Guinea
NZ,Air New Zealand,ANZ,New Zealand
P4,Air Peace,APK,Nigeria
4W,Allied Air,AJK,Nigeria
W3,Arik Air,ARA,Nigeria
OF,Overland Airways,OLA,Nigeria
WF,Wideroe,WIF,Norway
WY,Oman Air,OAS,Oman
PK,PIA Pakistan International Airlines,PIA,Pakistan
CM,COPA Airlines,CMP,Panama
PZ,LATAM Airlines Paraguay,LAP,Paraguay
LP,LATAM Airlines Peru,LPE,Peru
T0,TACA Peru,TPU,Peru
PR,Philippine Airlines,PAL,Philippines
LO,LOT Polish Airlines,LOT,Poland
S4,Azores Airlines,RZO,Portugal
YU,EuroAtlantic Airways,MMZ,Portugal
5K,Hi Fly,HFY,Portugal
NI,PGA-Portugalia Airlines,PGA,Portugal
SP,SATA Air Acores,SAT,Portugal
TP,TAP Portugal,TAP,Portugal
WI,White coloured by you,WHT,Portugal
QR,Qatar Airways,QTR,Qatar
UU,Air Austral,REU,Réunion
0B,Blue Air,BMS,Romania
V3,Carpatair,KRP,Romania
RO,TAROM,ROT,Romania
SU,Aeroflot,AFL,Russian Federation
RU,AirBridgeCargo Airlines,ABW,Russian Federation
5N,Nordavia Regional Airlines,AUL,Russian Federation
N4,Nordwind Airlines,NWS,Russian Federation
EO,Pegas Fly,KAR,Russian Federation
FV,Rossiya Airlines,SDM,Russian Federation
S7,S7 Airlines,SBI,Russian Federation
U6,Ural Airlines,SVR,Russian Federation
UT,UTair,UTA,Russian Federation
WB,RwandAir,RWD,Rwanda
SV,Saudi Arabian Airlines,SVA,Saudi Arabia
6S,SaudiGulf Airlines,SGQ,Saudi Arabia
JU,Air Serbia,ASL,Serbia
